"Overledenen; belangrijke doodsoorzaken (korte lijst), leeftijd, geslacht"
"";"";"Onderwerpen";"17 Uitwendige doodsoorzaken"
"";"";"Onderwerpen";"17.3 Moord en doodslag"
"Leeftijd";"Geslacht";"Perioden";"aantal"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2000";"180"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2001";"200"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2002";"195"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2003";"200"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2004";"191"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2005";"174"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2006";"128"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2007";"143"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2008";"150"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2009";"154"
"Totaal alle leeftijden";"Totaal mannen en vrouwen";"2010";"144"
"Totaal alle leeftijden";"Mannen";"2000";"120"
"Totaal alle leeftijden";"Mannen";"2001";"134"
"Totaal alle leeftijden";"Mannen";"2002";"134"
"Totaal alle leeftijden";"Mannen";"2003";"129"
"Totaal alle leeftijden";"Mannen";"2004";"138"
"Totaal alle leeftijden";"Mannen";"2005";"117"
"Totaal alle leeftijden";"Mannen";"2006";"79"
"Totaal alle leeftijden";"Mannen";"2007";"96"
"Totaal alle leeftijden";"Mannen";"2008";"103"
"Totaal alle leeftijden";"Mannen";"2009";"104"
"Totaal alle leeftijden";"Mannen";"2010";"90"
"Totaal alle leeftijden";"Vrouwen";"2000";"60"
"Totaal alle leeftijden";"Vrouwen";"2001";"68"
"Totaal alle leeftijden";"Vrouwen";"2002";"61"
"Totaal alle leeftijden";"Vrouwen";"2003";"73"
"Totaal alle leeftijden";"Vrouwen";"2004";"53"
"Totaal alle leeftijden";"Vrouwen";"2005";"57"
"Totaal alle leeftijden";"Vrouwen";"2006";"49"
"Totaal alle leeftijden";"Vrouwen";"2007";"47"
"Totaal alle leeftijden";"Vrouwen";"2008";"47"
"Totaal alle leeftijden";"Vrouwen";"2009";"50"
"Totaal alle leeftijden";"Vrouwen";"2010";"54"
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 1-11-2017"
