"Overledenen; belangrijke doodsoorzaken (korte lijst), leeftijd, geslacht"
"";"";"";"Geslacht";"Totaal mannen en vrouwen";"Mannen";"Vrouwen"
"Onderwerpen_1";"Onderwerpen_2";"Perioden";"Leeftijd";"Totaal alle leeftijden";"Totaal alle leeftijden";"Totaal alle leeftijden"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2000";"aantal";"180";"120";"60"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2001";"aantal";"202";"134";"68"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2002";"aantal";"195";"134";"61"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2003";"aantal";"202";"129";"73"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2004";"aantal";"191";"138";"53"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2005";"aantal";"174";"117";"57"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2006";"aantal";"128";"79";"49"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2007";"aantal";"143";"96";"47"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2008";"aantal";"150";"103";"47"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2009";"aantal";"154";"104";"50"
"17 Uitwendige doodsoorzaken";"17.3 Moord en doodslag";"2010";"aantal";"144";"90";"54"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 2-11-2017"
